"Codice";"Nome";"Inizio";"Fine";"Tipo";"Quota";"Comune";"Provincia";"Sensori";"Epsg3003_X";"Epsg3003_Y";"Epsg4258_Lat";"Epsg4258_Lon";"Bacino";"SottoBacino";"ZonaAllerta"
59;"Domegge di Cadore";08/09/1988;;"METEO";822;"DOMEGGE DI CADORE (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1761890.685;5150944.043;46.46094955;12.41035969;"PIAVE: VENETO";"PIAVE";"Vene-A Alto Piave";
60;"Malga Campobon (San Pietro di Cadore)";05/11/1984;;"METEO";1939;"SAN PIETRO DI CADORE (BL)";"BL";"ET0, PREC, TARIA2M, TARIAMAX2M, TARIAMIN2M";1775801;5172010;46.64463814;12.60365549;"PIAVE: VENETO";"PIAVE";"Vene-A Alto Piave";
61;"Cimacanale (Santo Stefano di Cadore)";07/11/1985;;"METEO";1246;"SANTO STEFANO DI CADORE (BL)";"BL";"ET0, LIDRO, PREC, TARIA2M, TARIAMAX2M, TARIAMIN2M";1778097;5167374;46.6020538;12.63080725;"PIAVE: VENETO";"PIAVE";"Vene-A Alto Piave";
62;"Padola  a Santo Stefano CAE";01/01/1986;;"CAEI";905;"SANTO STEFANO DI CADORE (BL)";"BL";"LIDRO, LIDRO, LIDRO, LIDROMAX, LIDROMAX, LIDROMIN, LIDROMIN, PORT, PORT";1771945;5162330;46.55926927;12.54767828;"PIAVE: VENETO";"PIAVE";"Vene-A Alto Piave";
63;"Sappada 2000";01/01/1985;01/01/1998;"METEO";2006;"SAPPADA (BL)";"BL";"DVENTO5M, DVENTO5M, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1783344;5165609;46.58400977;12.69809286;"PIAVE: VENETO";"PIAVE";"Vene-A Alto Piave";
64;"Tignes";11/04/1989;01/01/1997;"METEO";506;"ALPAGO (BL)";"BL";"PREC";1758396;5116435;46.15228817;12.3459268;"PIAVE: VENETO";"PIAVE - Alpago";"Vene-H Piave pedemontano";
65;"Piave a Ponte nelle Alpi";06/12/1985;13/01/2015;"IDRO";369;"PONTE NELLE ALPI (BL)";"BL";"LIDRO, LIDRO, LIDROMAX, LIDROMAX, LIDROMIN, LIDROMIN, PORT";1753718;5118520;46.1727788;12.28656522;"PIAVE: VENETO";"PIAVE";"Vene-H Piave pedemontano";
66;"Sonna a Feltre";21/05/1985;;"IDRO";251;"FELTRE (BL)";"BL";"LIDRO, LIDRO, LIDROMAX, LIDROMAX, LIDROMIN, LIDROMIN, PORT";1725560;5099494;46.0116682;11.91326105;"PIAVE: VENETO";"PIAVE";"Vene-H Piave pedemontano";
67;"Monte Avena";03/10/1985;;"METEO";1415;"PEDAVENA (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1718812;5101524;46.03210396;11.82713557;"BRENTA: VENETO";"BRENTA: CISMON";"Vene-H Piave pedemontano";
68;"Castana";05/06/1985;;"METEO";420;"POSINA (VI)";"VI";"DRAFF5M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PIOGCONT, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1679369;5076164;45.81551626;11.30843985;"BRENTA: VENETO";"BRENTA - Bacchiglione - Astico";"Vene-B Alto Brenta-Bacchiglione-Alpone";
69;"Piave a Fener";16/12/1986;04/07/2017;"IDRO";173;"ALANO DI PIAVE (BL)";"BL";"DVENTO5M, DVENTO5M, LIDRO, LIDRO, LIDROMAX, LIDROMAX, LIDROMIN, LIDROMIN, PARATOIA, PARATOIA, TARIA2M, TARIAMAX2M, TARIAMIN2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1728652;5087122;45.89944133;11.94724059;"PIAVE: VENETO";"PIAVE: PEDEROBBA";"Vene-H Piave pedemontano";
70;"Posina a Stancari";06/06/1985;13/07/2006;"IDRO";388;"VELO D'ASTICO (VI)";"VI";"LIDRO, LIDRO, LIDROMAX, LIDROMIN, PORT";1681524;5075140;45.80574386;11.33576928;"BRENTA: VENETO";"BRENTA - Bacchiglione - Astico";"Vene-B Alto Brenta-Bacchiglione-Alpone";
71;"San Giovanni Ilarione";14/02/1992;;"METEO";317;"SAN GIOVANNI ILARIONE (VR)";"VR";"ET0, PREC, TARIA2M, TARIAMAX2M, TARIAMIN2M";1673701;5046294;45.54832483;11.22486099;"ADIGE: VENETO";"ADIGE: ALTO ALPONE";"Vene-B Alto Brenta-Bacchiglione-Alpone";
72;"Astico a Pedescala";01/06/1985;;"IDRMET";307;"VALDASTICO (VI)";"VI";"DVENTO5M, DVENTO5M, ET0, LIDRO, LIDRO, LIDROMAX, LIDROMAX, LIDROMIN, LIDROMIN, PORT, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1683840;5079537;45.84467135;11.36722564;"BRENTA: VENETO";"BRENTA: VALD'ASTICO";"Vene-B Alto Brenta-Bacchiglione-Alpone";
73;"Contra' Doppio (Posina)";21/08/1985;;"METEO";724;"POSINA (VI)";"VI";"ET0, PIOGCONT, PREC, TARIA2M, TARIAMAX2M, TARIAMIN2M";1672922.125;5075033.113;45.80699205;11.2251192;"BRENTA: VENETO";"BRENTA - Posina";"Vene-B Alto Brenta-Bacchiglione-Alpone";
74;"Monte Verena";08/01/1986;;"METEO";2008;"ROANA (VI)";"VI";"DVENTO10M, DVENTO10M, ET0, PREC, TARIA2M, TARIAMAX2M, TARIAMIN2M, VRAFFICA10M, VSFIL10M, VVENTO10M, VVMEDARIT10M";1687174.398;5089191.197;45.93058669;11.41388886;"BRENTA: VENETO";"BRENTA - Val d'Assa";"Vene-B Alto Brenta-Bacchiglione-Alpone";
75;"Malga Resteletto";05/06/1985;01/10/1991;"METEO";1415;"LASTEBASSE (VI)";"VI";"PREC, TARIA2M";1678038;5083913;45.88554819;11.29418742;"BRENTA: VENETO";"BRENTA: VALD'ASTICO";"Vene-B Alto Brenta-Bacchiglione-Alpone";
76;"Turcati (Recoaro Terme)";08/07/1986;;"METEO";714;"RECOARO TERME (VI)";"VI";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PIOGCONT, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1670124.49;5063510.027;45.70401092;11.18480016;"BRENTA: VENETO";"BRENTA - Agno - Guà";"Vene-B Alto Brenta-Bacchiglione-Alpone";
77;"Recoaro Mille";09/07/1986;;"METEO";1073;"RECOARO TERME (VI)";"VI";"DRAFF5M, DVENTO5M, DVENTO5M, ET0, PIOGCONT, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1673345;5060968;45.68038956;11.2255215;"BRENTA: VENETO";"BRENTA - Bacchiglione - Agno";"Vene-B Alto Brenta-Bacchiglione-Alpone";
78;"Agno a Recoaro";01/09/1986;31/05/2008;"IDRO";432;"RECOARO TERME (VI)";"VI";"LIDRO, LIDROMAX, LIDROMIN, PORT";1673345;5063683;45.70480752;11.22649108;"BRENTA: VENETO";"BRENTA - Bacchiglione - Agno";"Vene-B Alto Brenta-Bacchiglione-Alpone";
79;"Valdagno";08/07/1986;;"METEO";229;"VALDAGNO (VI)";"VI";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1679975;5055697;45.63129614;11.30863411;"BRENTA: VENETO";"BRENTA - Musone";"Vene-B Alto Brenta-Bacchiglione-Alpone";
